Track name, Artist name, Album, Playlist name, Type, ISRC
Black Swan - Japanese ver.,BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Favorite Songs,Favorite,JPPO02001473
Daechwita,Agust D,D-2,Favorite Songs,Favorite,QM6N22036182
I Don't Miss You,Eric Nam,I Don't Miss You,Favorite Songs,Favorite,KRA491800967
Who (feat. BTS),Lauv,~how i'm feeling~,Favorite Songs,Favorite,GBKPL1969291
God’s Menu,Stray Kids,GO LIVE,Favorite Songs,Favorite,US5TA2000037
High Hopes,Panic! At The Disco,Pray for the Wicked,Favorite Songs,Favorite,USAT21801174
Explore This,Alainite,After Hours,Favorite Songs,Favorite,QZHN91922589
Why,Sabrina Carpenter,Why,Favorite Songs,Favorite,USHR11738092
Cheating on You,Charlie Puth,Cheating on You,Favorite Songs,Favorite,USAT21904902
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project,Favorite Songs,Favorite,GBAHS1900714
POP/STARS,K/DA,POP/STARS,Favorite Songs,Favorite,NLRD51859885
WANNABE,ITZY,It'z Me,Favorite Songs,Favorite,US5TA2000006
Weird,Eryn Martin,EDOG,Favorite Songs,Favorite,TCADK1760900
Sorry,Halsey,hopeless fountain kingdom (Deluxe),Favorite Songs,Favorite,USUM71702216
I'm a Mess,Bebe Rexha,Expectations,Favorite Songs,Favorite,USWB11800739
Monster,Red Velvet - IRENE & SEULGI,Monster - The 1st Mini Album,Favorite Songs,Favorite,KRA302000345
Runaway,Eric Nam,Runaway,Favorite Songs,Favorite,KRA491900305
My New World,CIX,"HELLO Chapter 1: Hello, Stranger (1st EP) [Japanese ver.]",Favorite Songs,Favorite,JPWP01971137
Honestly,Eric Nam,Honestly,Favorite Songs,Favorite,KRA491800312
DINOSAUR,AKMU,SUMMER EPISODE,Favorite Songs,Favorite,KRA401700205
Burn It Up,Wanna One,1-1=0 (NOTHING WITHOUT YOU),Favorite Songs,Favorite,KRA491700107
